Episode,Steps,Success,CumulativeSuccessRate
1,69,1,100.00
2,3,1,100.00
3,206,1,100.00
4,74,1,100.00
5,409,1,100.00
6,25,1,100.00
7,2471,1,100.00
8,404,1,100.00
9,1178,1,100.00
10,210,1,100.00
11,4366,1,100.00
12,47,1,100.00
13,209,1,100.00
14,308,1,100.00
15,593,1,100.00
16,894,1,100.00
17,857,1,100.00
18,706,1,100.00
19,1466,1,100.00
20,17,1,100.00
21,637,1,100.00
22,496,1,100.00
23,31,1,100.00
24,2110,1,100.00
25,595,1,100.00
26,88,1,100.00
27,298,1,100.00
28,1840,1,100.00
29,41,1,100.00
30,167,1,100.00
31,942,1,100.00
32,846,1,100.00
33,22,1,100.00
34,5000,0,97.06
35,487,1,97.14
36,76,1,97.22
37,4,1,97.30
38,72,1,97.37
39,701,1,97.44
40,444,1,97.50
41,8,1,97.56
42,56,1,97.62
43,1305,1,97.67
44,3865,1,97.73
45,140,1,97.78
46,1138,1,97.83
47,824,1,97.87
48,518,1,97.92
49,550,1,97.96
50,520,1,98.00
51,1081,1,98.04
52,679,1,98.08
53,544,1,98.11
54,28,1,98.15
55,3827,1,98.18
56,166,1,98.21
57,742,1,98.25
58,443,1,98.28
59,456,1,98.31
60,1048,1,98.33
61,507,1,98.36
62,495,1,98.39
63,776,1,98.41
64,315,1,98.44
65,1456,1,98.46
66,744,1,98.48
67,647,1,98.51
68,14,1,98.53
69,450,1,98.55
70,172,1,98.57
71,32,1,98.59
72,21,1,98.61
73,118,1,98.63
74,295,1,98.65
75,1727,1,98.67
76,40,1,98.68
77,581,1,98.70
78,4065,1,98.72
79,203,1,98.73
80,60,1,98.75
81,589,1,98.77
82,452,1,98.78
83,445,1,98.80
84,705,1,98.81
85,6,1,98.82
86,43,1,98.84
87,922,1,98.85
88,546,1,98.86
89,1012,1,98.88
90,273,1,98.89
91,1451,1,98.90
92,2072,1,98.91
93,45,1,98.92
94,1500,1,98.94
95,200,1,98.95
96,161,1,98.96
97,37,1,98.97
98,37,1,98.98
99,610,1,98.99
100,463,1,99.00
101,114,1,99.01
102,3132,1,99.02
103,1215,1,99.03
104,735,1,99.04
105,216,1,99.05
106,670,1,99.06
107,50,1,99.07
108,1091,1,99.07
109,4683,1,99.08
110,727,1,99.09
111,682,1,99.10
112,253,1,99.11
113,92,1,99.12
114,238,1,99.12
115,721,1,99.13
116,2890,1,99.14
117,96,1,99.15
118,115,1,99.15
119,1824,1,99.16
120,483,1,99.17
121,1054,1,99.17
122,172,1,99.18
123,720,1,99.19
124,403,1,99.19
125,49,1,99.20
126,569,1,99.21
127,643,1,99.21
128,264,1,99.22
129,389,1,99.22
130,5000,0,98.46
131,923,1,98.47
132,845,1,98.48
133,10,1,98.50
134,53,1,98.51
135,532,1,98.52
136,1592,1,98.53
137,245,1,98.54
138,1161,1,98.55
139,1191,1,98.56
140,2461,1,98.57
141,34,1,98.58
142,54,1,98.59
143,3984,1,98.60
144,310,1,98.61
145,44,1,98.62
146,41,1,98.63
147,5000,0,97.96
148,196,1,97.97
149,71,1,97.99
150,24,1,98.00
151,1640,1,98.01
152,466,1,98.03
153,1055,1,98.04
154,598,1,98.05
155,529,1,98.06
156,447,1,98.08
157,5000,0,97.45
158,519,1,97.47
159,16,1,97.48
160,55,1,97.50
161,86,1,97.52
162,86,1,97.53
163,44,1,97.55
164,21,1,97.56
165,74,1,97.58
166,232,1,97.59
167,1883,1,97.60
168,122,1,97.62
169,299,1,97.63
170,4329,1,97.65
171,534,1,97.66
172,201,1,97.67
173,644,1,97.69
174,2442,1,97.70
175,1001,1,97.71
176,42,1,97.73
177,128,1,97.74
178,4598,1,97.75
179,576,1,97.77
180,115,1,97.78
181,677,1,97.79
182,199,1,97.80
183,2351,1,97.81
184,2147,1,97.83
185,34,1,97.84
186,41,1,97.85
187,112,1,97.86
188,124,1,97.87
189,40,1,97.88
190,79,1,97.89
191,5000,0,97.38
192,98,1,97.40
193,47,1,97.41
194,67,1,97.42
195,69,1,97.44
196,1100,1,97.45
197,127,1,97.46
198,633,1,97.47
199,10,1,97.49
200,432,1,97.50
201,769,1,97.51
