Episode,Captures,EscortRate,RoleDiversityRate,AvgCarrierSurvivalTime,EpisodeLength
1,0,0.0000,0.0000,0.00,0
2,1,0.0000,1.1039,9.82,674
3,1,0.0556,1.1219,7.36,648
4,1,0.0399,1.9724,15.32,651
5,1,0.2795,0.4450,23.94,1753
6,1,0.0981,1.6519,12.98,540
7,1,0.3654,1.1492,14.60,791
8,1,0.0000,1.6203,12.18,661
9,1,0.0878,1.7069,16.88,638
10,1,0.1714,1.5518,10.28,560
11,1,0.4570,1.0318,14.42,628
12,1,0.3179,1.8226,20.14,840
13,1,0.1891,1.4670,10.42,788
14,1,0.5022,1.6114,14.96,898
15,1,0.0000,1.5245,11.12,593
16,1,0.4311,1.4994,15.58,777
17,1,0.1885,1.5447,15.14,626
18,1,0.1517,1.5853,9.38,791
19,1,0.2574,1.2689,12.68,781
20,1,0.1140,1.5058,12.98,605
21,1,0.2791,1.7832,14.92,738
22,1,0.3434,1.7091,11.22,629
23,1,0.2989,0.8398,8.92,649
24,1,0.4420,1.9191,14.38,742
25,1,0.2018,1.0643,14.68,778
26,1,0.3474,1.2971,13.56,616
27,1,0.0000,1.9707,15.26,852
28,1,0.2732,1.7439,15.94,937
29,1,0.2059,0.8650,14.60,748
30,1,0.1583,1.4209,15.54,1131
31,1,0.0000,1.4829,10.52,642
32,1,0.3000,1.4443,13.12,610
33,1,0.4113,1.0000,14.42,834
34,1,0.3398,1.0356,12.20,618
35,1,0.6600,1.7055,14.50,703
36,1,0.0000,1.0569,9.06,545
37,1,0.2049,1.1288,18.22,854
38,1,0.4808,1.1656,12.66,755
39,1,0.4549,1.5118,9.76,721
40,1,0.0406,1.5442,7.20,566
41,1,0.5177,1.3562,18.28,817
42,1,0.4278,1.8570,18.02,769
43,1,0.1988,1.7641,9.90,513
44,1,0.2674,1.6404,12.12,748
45,1,0.2402,1.4093,12.66,816
46,1,0.2850,0.8614,12.52,765
47,1,0.0934,1.5101,9.30,696
48,1,0.0000,1.3971,12.66,622
49,1,0.1824,1.0459,16.90,740
50,1,0.3005,1.6098,13.28,569
51,1,0.5809,1.6205,13.92,606
52,1,0.0314,1.8884,8.12,636
53,1,0.0618,1.4739,8.68,631
54,1,0.9937,1.0619,15.38,791
55,1,0.5567,0.9203,15.12,803
56,1,0.6333,1.3820,14.00,589
57,1,0.3477,1.2233,9.80,627
58,1,0.5416,0.8352,10.68,613
59,1,0.4037,1.6740,7.52,592
60,1,0.1759,1.8057,19.10,813
61,1,0.4133,1.6471,14.48,646
62,1,0.3323,0.7785,8.62,641
63,1,0.1680,1.2441,10.88,762
64,1,0.1290,1.0673,11.34,713
65,1,0.4121,1.1697,7.52,660
66,1,0.0912,1.5706,8.02,680
67,1,0.3354,0.9712,13.12,659
68,1,0.1092,0.7213,10.64,714
69,1,0.1517,1.5690,13.76,659
70,1,0.3898,1.4204,19.24,785
71,1,0.2399,1.9899,13.42,596
72,1,0.0347,1.7265,6.66,490
73,1,0.1289,1.2798,7.76,729
74,1,0.2033,1.0831,9.14,915
75,1,0.3346,1.8929,6.24,532
76,1,0.1847,1.3212,16.16,769
77,1,0.5819,1.3795,15.98,830
78,1,0.0000,1.3050,8.40,623
79,1,0.4370,1.4035,14.24,746
80,1,0.2301,1.3262,13.92,604
81,1,0.2278,1.0624,9.18,641
82,1,0.4815,1.5204,19.42,1055
83,1,0.2505,1.2406,16.42,1014
84,1,0.0328,1.4819,7.28,579
85,1,0.5460,1.2777,11.76,641
86,1,0.1051,1.1025,14.92,790
87,1,0.2500,1.3338,10.96,692
88,1,0.2026,1.2109,14.66,844
89,1,0.1109,0.7727,11.00,893
90,1,1.1116,0.9874,13.92,717
91,1,0.3127,1.6617,15.92,1132
92,1,0.1716,1.7033,21.42,1055
93,1,0.3863,1.4332,12.50,554
94,1,0.5664,1.0700,17.54,971
95,1,0.3617,1.3556,13.48,810
96,1,0.5334,1.6330,11.12,643
97,1,0.4126,1.5298,19.38,955
98,1,0.0734,1.7719,14.82,627
99,1,0.1106,1.4696,7.88,922
100,1,0.6457,0.9098,11.98,621
101,1,0.2023,1.3035,16.44,1107
102,1,0.2397,1.1483,14.54,580
103,1,0.2143,1.3505,8.78,602
104,1,0.0787,1.7734,12.52,534
105,1,0.2676,1.1883,14.56,669
106,1,0.1036,1.2320,16.54,724
107,1,0.1409,0.8782,11.08,788
108,1,0.1307,1.4773,17.90,903
109,1,0.2281,1.3328,11.14,640
110,1,0.0000,1.3355,13.86,766
111,1,0.1469,1.3418,15.22,749
112,1,0.4660,1.0902,19.36,854
113,1,0.0000,1.8228,8.12,570
114,1,0.0000,1.4851,7.86,639
115,1,0.0324,1.1856,8.06,555
116,1,0.2743,1.8242,14.68,842
117,1,0.4755,1.6808,15.34,755
118,1,0.3979,1.6021,13.76,1033
119,1,0.3739,1.2826,10.82,690
120,1,0.3573,1.2727,15.84,627
121,1,0.9019,1.5342,24.58,1142
122,1,0.0657,1.6298,8.58,624
123,1,0.2163,1.5490,11.08,541
124,1,0.1474,1.4459,9.94,536
125,1,0.0000,1.4900,9.02,602
126,1,0.0060,1.4864,14.84,662
127,1,0.0922,1.6580,21.04,1041
128,1,0.3639,1.9710,13.80,621
129,1,0.3385,0.7954,11.22,650
130,1,0.2191,1.9218,15.80,639
131,1,0.1283,1.7669,15.72,725
132,1,0.2221,1.3966,15.48,653
133,1,0.3243,1.1108,13.34,848
134,1,0.1256,1.1308,9.10,772
135,1,0.6108,1.5858,17.28,758
136,1,0.3869,1.5054,13.74,928
137,1,0.3041,1.7930,12.64,628
138,1,0.3576,1.3147,12.20,769
139,1,0.0449,1.6396,6.66,713
140,1,0.2852,0.9063,9.96,512
141,1,0.0451,1.8684,6.22,532
142,1,0.2819,1.6480,20.24,855
143,1,0.4030,1.4582,11.24,670
144,1,0.0000,0.9809,13.26,734
145,1,0.3941,0.6794,18.46,1048
146,1,0.4977,1.8014,14.80,856
147,1,0.1327,0.7824,9.68,648
148,1,0.4710,1.0178,16.40,845
149,1,0.2985,1.0884,14.58,747
150,1,0.3550,1.9903,14.38,724
151,1,0.1463,1.3333,10.06,588
152,1,0.1217,1.4438,12.70,649
153,1,0.4143,1.6110,14.56,712
