Episode,Captures,EscortRate,RoleDiversityRate,AvgCarrierSurvivalTime,EpisodeLength
1,0,0.0000,0.0000,0.00,0
2,1,0.3692,1.5809,25.26,1422
3,1,0.1166,1.4481,11.22,549
4,1,0.3539,1.2380,11.34,647
5,1,0.0000,1.8083,6.36,673
6,1,0.1634,1.6858,13.62,557
7,1,0.1619,1.9781,15.88,729
8,1,0.1758,1.6671,17.10,745
9,1,0.0000,1.6437,13.70,609
10,1,0.0000,1.2863,16.50,723
11,1,0.5323,1.4821,13.24,558
12,1,0.1312,1.6749,12.98,686
13,1,0.2818,1.7212,13.78,685
14,1,0.0101,1.9581,12.76,597
15,1,0.3123,1.5566,13.90,618
16,1,0.2141,1.3129,13.28,668
17,1,0.0000,1.4293,16.16,834
18,1,0.4167,1.2869,13.94,732
19,1,1.1029,1.2809,14.32,719
20,1,0.1416,1.1707,12.84,791
21,1,0.9268,1.2196,14.42,847
22,1,0.4812,1.2807,16.80,823
23,1,0.7558,1.1243,16.18,901
24,1,0.1585,1.6323,13.48,631
25,1,0.2217,1.1931,13.16,663
26,1,0.2791,1.3860,11.78,627
27,1,0.3012,1.8188,18.28,1192
28,1,0.2802,1.5645,12.22,721
29,1,0.4416,1.3710,16.14,822
30,1,0.0817,1.1839,15.78,832
31,1,0.7396,1.4920,15.28,626
32,1,0.3501,1.6350,9.58,537
33,1,0.4084,1.7291,16.24,742
34,1,0.3863,1.6959,16.12,730
35,1,0.1164,1.9537,11.60,627
36,1,0.2067,1.7136,12.62,653
37,1,0.2013,1.8529,13.70,775
38,1,0.0474,1.5482,12.26,591
39,1,0.8274,1.7325,13.74,643
40,1,0.2419,1.7781,11.36,649
41,1,0.2153,1.4659,12.78,734
42,1,0.2068,1.9781,16.18,730
43,1,0.0000,1.9090,11.92,725
44,1,0.0000,0.9342,8.78,684
45,1,0.3020,1.4939,16.54,735
46,1,0.2738,1.6033,18.00,968
47,1,0.5365,1.4489,17.44,753
48,1,0.0355,1.5361,17.76,817
49,1,0.0000,1.3537,14.18,574
50,1,0.0000,1.2195,16.46,647
51,1,0.4709,1.2262,21.70,1030
52,1,0.0512,1.1911,7.26,586
53,1,0.1085,1.5216,15.70,765
54,1,0.1952,1.5818,11.86,538
55,1,0.1283,1.1883,7.34,600
56,1,0.0470,1.3647,6.92,617
57,1,0.2513,1.1821,10.10,593
58,1,0.1878,1.3867,7.08,543
59,1,0.2252,1.1748,12.82,755
60,1,0.0267,1.6196,6.44,673
61,1,0.1165,1.2879,13.46,601
62,1,0.2126,1.7076,14.30,701
63,1,0.2474,1.9412,13.08,578
64,1,0.1577,1.9462,12.80,558
65,1,0.1687,0.9239,13.88,670
66,1,0.1035,1.4174,7.38,599
67,1,0.3994,1.6191,16.94,701
68,1,0.2652,1.6298,14.18,886
69,1,0.6890,1.6130,11.20,553
70,1,0.5388,1.2694,12.98,787
71,1,0.3252,1.9647,13.32,652
72,1,0.2459,1.6757,16.72,740
73,1,0.1994,0.4548,12.10,697
74,1,0.0031,1.1852,13.56,637
75,1,0.0079,1.3197,5.96,635
76,1,0.4461,1.3544,13.94,742
77,1,0.1413,1.0096,10.66,729
78,1,0.2884,1.0884,10.62,645
79,1,0.2083,1.4486,16.38,749
80,1,0.2565,1.5048,13.70,729
81,1,0.6007,1.2960,17.82,919
