Episode,Captures,EscortRate,RoleDiversityRate,AvgCarrierSurvivalTime,EpisodeLength
1,0,0.0000,0.0000,0.00,0
2,1,0.0000,1.8634,10.92,549
3,1,0.1521,1.2842,13.82,848
4,1,0.0000,1.6124,10.20,547
5,2,0.0000,1.3692,7.48,585
6,1,0.0000,1.6554,13.08,531
7,1,0.1005,1.3711,7.94,547
8,1,0.0000,1.7877,10.96,537
9,1,0.1576,1.5337,14.08,787
10,1,0.1498,1.8393,15.54,641
11,1,0.1315,1.7509,10.80,859
12,1,0.0016,1.5381,10.88,617
13,1,0.0344,1.1363,9.46,1482
14,1,0.3013,1.8427,10.74,750
15,1,0.0000,1.9700,10.44,534
16,1,0.0000,1.7575,11.18,569
17,1,0.1231,1.8923,8.94,520
18,1,0.0000,1.5823,11.62,553
19,1,0.1961,1.7381,13.98,714
20,1,0.0096,1.6108,7.36,519
21,1,0.0000,1.9555,8.14,607
22,1,0.0478,1.6761,8.16,460
23,1,0.0714,1.8242,7.80,546
24,1,0.0000,1.9007,18.68,675
25,1,0.0000,1.7596,8.40,599
26,1,0.0000,1.2387,13.36,532
27,1,0.4209,1.7484,17.70,632
28,1,0.0000,1.6983,14.18,537
29,1,0.1508,1.7896,13.66,537
30,1,0.0000,1.8372,10.52,473
31,1,0.2489,1.8452,14.46,691
32,1,0.0082,1.9672,10.00,488
33,1,0.0294,1.3460,10.48,578
34,1,0.0000,1.8323,14.66,841
35,1,0.0796,1.7214,13.14,603
36,1,0.1954,1.8162,10.28,517
37,1,0.0435,1.8315,12.84,712
38,1,0.0546,1.4035,7.72,513
39,1,0.0401,1.3066,11.08,574
40,1,0.3153,1.9694,11.74,850
41,1,0.0600,1.7813,6.30,567
42,1,0.0000,1.3603,13.16,716
43,1,0.0325,1.3060,9.70,647
44,1,0.0024,0.9811,9.60,848
45,1,0.0000,1.5854,7.26,521
46,1,0.0000,1.3731,13.78,847
47,1,0.0979,1.9751,11.20,562
48,1,0.0000,1.5898,11.04,802
49,1,0.0000,1.4797,5.60,467
50,1,0.0314,1.8233,10.48,764
51,1,0.2868,1.8337,10.04,523
52,1,0.5389,1.2948,9.60,848
53,1,0.0000,1.8659,14.14,552
54,1,0.0182,1.3066,8.70,548
55,1,0.0000,1.1639,16.50,610
56,1,0.1979,1.1163,16.64,748
57,1,0.0000,1.8590,9.72,525
58,1,0.0542,1.8850,10.46,461
59,1,0.0000,1.3887,9.02,674
60,1,0.2909,1.9677,11.72,526
61,1,0.1033,1.9279,11.18,513
62,1,0.0000,1.8225,11.76,631
63,1,0.0739,1.4942,15.04,1299
64,1,0.1685,1.7095,16.04,623
65,1,0.0000,1.6411,9.72,730
66,1,0.1011,1.8841,16.08,742
67,1,0.0337,1.3436,11.38,713
68,1,0.0000,1.9774,9.74,532
69,1,0.0000,1.5356,11.78,506
70,1,0.0000,1.9749,11.48,557
71,1,0.0000,1.1827,15.56,591
72,1,0.0000,1.4888,11.56,493
73,1,0.1961,1.4848,10.74,724
74,1,0.2797,1.6158,10.90,708
75,1,0.0000,1.8098,11.58,531
76,1,0.1099,0.8767,9.50,746
77,1,0.0000,1.6030,13.28,529
78,1,0.0000,1.3432,13.96,507
79,1,0.3289,1.9399,10.00,532
80,1,0.0000,1.5757,11.60,502
81,1,0.1196,1.8607,11.64,560
82,1,0.0000,1.5479,15.20,553
83,1,0.1034,1.7807,9.24,725
84,1,0.0215,1.3359,9.28,512
85,1,0.0000,1.4686,7.86,542
86,1,0.0000,1.8577,12.60,534
87,1,0.0745,1.6386,13.24,725
88,1,0.0000,1.0655,5.86,550
89,1,0.0381,1.9573,10.18,656
