Episode,Captures,EscortRate,RoleDiversityRate,AvgCarrierSurvivalTime,EpisodeLength
1,0,0.0000,0.0000,0.00,0
2,1,0.2565,1.2839,16.88,803
3,1,0.0000,1.3115,15.70,687
4,1,0.0000,1.8861,11.58,632
5,1,0.0000,1.8614,16.64,873
6,1,0.0976,1.2165,12.00,1076
7,1,0.0641,1.6458,14.76,765
8,1,0.0000,1.5891,14.42,847
9,1,0.0131,0.8374,14.78,609
10,1,0.0472,1.2074,10.14,487
11,1,0.0235,1.8011,8.84,553
12,1,0.0000,1.1761,10.06,494
13,1,0.0000,1.9585,13.38,530
14,1,0.0000,1.9694,9.90,523
15,1,0.3117,1.1600,12.52,969
16,1,0.0000,1.9768,12.80,560
17,1,0.0687,1.9817,16.38,655
18,1,0.0710,1.7122,9.02,535
19,1,0.0000,1.7719,12.94,548
20,1,0.4247,1.2132,24.40,1102
21,1,0.1243,1.6190,8.94,861
22,1,0.2285,1.7491,9.78,582
23,1,0.1522,1.3115,8.94,565
24,1,0.1830,1.9728,11.36,552
25,1,0.1973,1.0094,9.24,745
26,1,0.0000,1.7397,9.26,461
27,1,0.0000,1.6791,11.38,483
28,1,0.0437,1.7969,8.56,458
29,1,0.0000,1.7608,12.88,577
30,1,0.1673,1.1919,12.40,568
31,1,0.0000,1.9671,12.42,517
32,1,0.0000,1.9135,8.38,532
33,1,0.2759,1.9793,14.58,580
34,1,0.1476,1.4798,8.18,569
35,1,0.0818,1.4109,6.38,477
36,1,0.0000,1.7750,15.22,649
37,1,0.0950,1.6441,15.16,621
38,1,0.2667,1.8236,12.90,720
39,1,0.0199,1.7461,6.98,453
40,1,0.2072,1.3243,10.02,666
41,1,0.0000,1.8986,9.18,552
42,1,0.6215,1.0664,13.18,753
43,1,0.1084,1.5820,12.52,701
44,1,0.1245,1.5539,7.94,538
45,1,0.2165,1.8910,7.34,679
46,1,0.1111,1.5684,11.32,468
47,1,0.0000,1.5927,13.88,545
48,1,0.0203,1.9429,12.16,543
49,1,0.0757,1.7331,13.26,753
50,1,0.0000,1.6936,9.24,470
51,1,0.0000,1.3460,13.30,737
52,1,0.0841,1.7299,12.10,1296
53,1,0.0000,1.5109,11.06,914
54,1,0.0382,1.3798,13.46,524
55,1,0.1034,1.8045,13.74,532
56,1,0.0000,1.4627,12.64,523
57,1,0.0000,1.8984,7.90,492
58,1,0.0000,1.6914,11.10,486
59,1,0.1512,1.9591,12.40,635
60,1,0.0000,1.6392,11.04,474
61,1,0.0000,1.9825,13.98,629
62,1,0.0000,0.8371,9.68,847
63,1,0.0000,1.9740,13.20,539
64,1,0.0583,0.9071,9.40,549
65,1,0.2797,1.5923,14.86,758
66,1,0.2914,1.1605,12.22,779
67,1,0.0760,1.9682,10.90,566
68,1,0.0000,1.7805,11.98,606
69,1,0.0000,1.6334,13.42,731
70,1,0.5213,1.3870,13.84,633
71,1,0.0000,1.7703,7.72,553
72,1,0.0561,1.6075,9.10,535
73,1,0.0898,1.4205,11.18,635
74,1,0.1420,1.3866,7.32,507
75,1,0.0493,1.7236,8.14,568
76,1,0.3810,1.7015,8.82,546
77,1,0.0000,1.5309,13.78,631
78,1,0.0000,1.5607,7.48,535
79,1,0.1429,1.7659,9.80,581
80,1,0.3143,1.6857,21.66,913
81,1,0.0819,1.8904,14.98,684
82,1,0.0000,1.2217,12.58,609
83,1,0.3211,1.5191,10.76,601
84,1,0.0055,1.5547,11.72,548
85,1,0.0000,1.6304,13.72,533
86,1,0.4038,1.7536,16.80,832
87,1,0.0409,1.9795,13.46,684
88,1,0.0000,1.7752,9.48,525
89,1,0.0709,1.9813,7.50,536
90,1,0.0230,1.5583,13.16,652
91,1,0.0000,1.7785,17.28,632
92,1,0.2633,1.4064,10.06,881
93,1,0.1641,1.0121,11.58,579
94,1,0.0000,1.9686,16.42,636
95,1,0.0000,1.9870,12.76,539
96,1,0.0721,1.8000,11.18,610
97,1,0.0241,1.1402,19.90,956
98,1,0.2576,1.8720,13.28,625
99,1,0.1691,1.5366,13.90,615
100,1,0.0000,1.8705,8.72,533
101,1,0.0000,1.8489,12.74,642
102,1,0.0141,1.1768,12.12,639
103,1,0.0638,1.5337,9.82,815
104,1,0.0092,1.9188,5.58,542
105,1,0.0579,1.5777,10.26,708
106,1,0.0174,1.9631,10.40,461
107,1,0.1625,1.5708,15.32,1391
108,1,0.0000,1.9293,12.90,523
109,1,0.1984,1.6416,9.02,731
110,1,0.1379,1.7274,8.68,631
111,1,0.0000,1.7833,12.90,660
112,1,0.0560,1.8368,10.32,625
113,1,0.0000,1.6560,12.30,500
114,1,0.0000,1.9699,7.90,465
115,1,0.2595,1.1519,13.98,632
116,1,0.2555,1.6597,21.26,1002
117,1,0.2524,1.5437,11.64,515
118,1,0.0375,1.4143,13.36,560
119,1,0.0000,1.5633,7.30,490
120,1,0.0000,1.7233,14.64,741
121,1,0.3278,1.9566,14.40,668
122,1,0.1856,1.0706,12.28,609
123,1,0.3023,1.6718,13.28,655
124,1,0.5872,1.6936,12.18,545
125,1,0.1023,1.5000,13.02,518
126,1,0.0000,1.1935,11.78,465
127,1,0.1958,1.3002,15.10,623
128,1,0.0516,1.4715,10.58,562
129,1,0.0000,1.3158,8.42,532
130,1,0.0000,1.9584,7.80,553
131,1,0.0508,1.6698,10.12,630
132,1,0.0000,1.8580,10.40,493
133,1,0.1105,1.3370,12.20,733
134,1,0.0000,1.5023,13.18,647
135,1,0.1609,1.8422,13.34,640
136,1,0.0000,1.9556,13.08,541
137,1,0.0000,1.9212,12.20,520
138,1,0.1138,1.8464,10.62,703
139,1,0.0000,1.8513,16.10,659
140,1,0.0713,1.5721,7.98,631
141,1,0.0000,1.4981,13.70,1070
142,1,0.2715,1.3068,7.50,453
143,1,0.5361,1.7953,12.82,513
144,1,0.2575,1.9003,12.38,602
145,1,0.0000,1.5928,13.10,668
146,1,0.0000,1.2140,9.58,542
147,1,0.2141,0.8688,9.28,640
148,1,0.1247,1.3846,8.86,481
149,2,0.0282,1.4765,7.01,531
150,1,0.0000,1.0860,6.16,721
151,1,0.0063,1.8212,16.66,632
152,1,0.0366,1.6581,8.84,547
153,1,0.0000,1.2137,13.90,1240
154,1,0.0847,1.8341,22.52,862
155,1,0.0420,1.0363,7.90,524
156,1,0.1899,1.9768,16.02,732
157,1,0.2620,1.7668,13.12,832
158,1,0.0000,1.3365,12.14,526
159,1,0.0000,1.4586,11.94,724
160,1,0.0000,1.8123,11.90,522
161,1,0.0000,1.3636,10.70,539
162,1,0.0000,1.7831,9.74,770
