Step,Action0_deg,Action1_deg,Action2_deg,Action3_deg,Action4_deg,Action5_deg
1,7.1643,-33.9755,25.3520,8.3549,-59.3881,-14.3554
2,7.1643,-33.9755,25.3520,8.3549,-59.3881,-14.3554
3,7.1643,-33.9755,25.3520,8.3549,-59.3881,-14.3554
4,7.1643,-33.9755,25.3520,8.3549,-59.3881,-14.3554
5,7.1643,-33.9755,25.3520,8.3549,-59.3881,-14.3554
6,6.8820,-49.8066,21.2863,50.3816,-27.7927,12.9469
7,6.8820,-49.8066,21.2863,50.3816,-27.7927,12.9469
8,6.8820,-49.8066,21.2863,50.3816,-27.7927,12.9469
9,6.8820,-49.8066,21.2863,50.3816,-27.7927,12.9469
10,6.8820,-49.8066,21.2863,50.3816,-27.7927,12.9469
11,1.6937,-60.0000,-22.0011,-6.6792,-32.8100,57.1760
12,1.6937,-60.0000,-22.0011,-6.6792,-32.8100,57.1760
13,1.6937,-60.0000,-22.0011,-6.6792,-32.8100,57.1760
14,1.6937,-60.0000,-22.0011,-6.6792,-32.8100,57.1760
15,1.6937,-60.0000,-22.0011,-6.6792,-32.8100,57.1760
16,-7.3158,-34.1348,32.5822,-60.0000,-30.8509,55.1587
17,-7.3158,-34.1348,32.5822,-60.0000,-30.8509,55.1587
18,-7.3158,-34.1348,32.5822,-60.0000,-30.8509,55.1587
19,-7.3158,-34.1348,32.5822,-60.0000,-30.8509,55.1587
20,-7.3158,-34.1348,32.5822,-60.0000,-30.8509,55.1587
21,19.6579,-25.9393,33.6992,-60.0000,-1.1567,6.8498
22,19.6579,-25.9393,33.6992,-60.0000,-1.1567,6.8498
23,19.6579,-25.9393,33.6992,-60.0000,-1.1567,6.8498
24,19.6579,-25.9393,33.6992,-60.0000,-1.1567,6.8498
25,19.6579,-25.9393,33.6992,-60.0000,-1.1567,6.8498
26,17.5228,-35.0107,2.8283,10.8158,-37.0211,-35.7668
27,17.5228,-35.0107,2.8283,10.8158,-37.0211,-35.7668
28,17.5228,-35.0107,2.8283,10.8158,-37.0211,-35.7668
29,17.5228,-35.0107,2.8283,10.8158,-37.0211,-35.7668
30,17.5228,-35.0107,2.8283,10.8158,-37.0211,-35.7668
31,29.3216,-60.0000,32.4212,60.0000,-60.0000,14.2692
32,29.3216,-60.0000,32.4212,60.0000,-60.0000,14.2692
33,29.3216,-60.0000,32.4212,60.0000,-60.0000,14.2692
34,29.3216,-60.0000,32.4212,60.0000,-60.0000,14.2692
