Step,Action0_deg,Action1_deg,Action2_deg,Action3_deg,Action4_deg,Action5_deg
1,37.9841,-15.4782,-15.9272,59.2122,-54.5331,-46.9098
2,37.9841,-15.4782,-15.9272,59.2122,-54.5331,-46.9098
3,37.9841,-15.4782,-15.9272,59.2122,-54.5331,-46.9098
4,37.9841,-15.4782,-15.9272,59.2122,-54.5331,-46.9098
5,37.9841,-15.4782,-15.9272,59.2122,-54.5331,-46.9098
6,58.1454,-57.6273,39.1068,58.6970,-59.5305,-49.0191
7,58.1454,-57.6273,39.1068,58.6970,-59.5305,-49.0191
8,58.1454,-57.6273,39.1068,58.6970,-59.5305,-49.0191
9,58.1454,-57.6273,39.1068,58.6970,-59.5305,-49.0191
10,58.1454,-57.6273,39.1068,58.6970,-59.5305,-49.0191
11,50.5789,-53.1836,15.2444,59.4416,-59.3131,55.0272
12,50.5789,-53.1836,15.2444,59.4416,-59.3131,55.0272
13,50.5789,-53.1836,15.2444,59.4416,-59.3131,55.0272
14,50.5789,-53.1836,15.2444,59.4416,-59.3131,55.0272
15,50.5789,-53.1836,15.2444,59.4416,-59.3131,55.0272
16,27.8520,-40.7875,54.5534,-59.8828,-58.2761,-29.8673
17,27.8520,-40.7875,54.5534,-59.8828,-58.2761,-29.8673
18,27.8520,-40.7875,54.5534,-59.8828,-58.2761,-29.8673
19,27.8520,-40.7875,54.5534,-59.8828,-58.2761,-29.8673
20,27.8520,-40.7875,54.5534,-59.8828,-58.2761,-29.8673
21,-43.1278,-48.7415,59.4958,59.7440,-59.2735,-55.1381
22,-43.1278,-48.7415,59.4958,59.7440,-59.2735,-55.1381
23,-43.1278,-48.7415,59.4958,59.7440,-59.2735,-55.1381
24,-43.1278,-48.7415,59.4958,59.7440,-59.2735,-55.1381
25,-43.1278,-48.7415,59.4958,59.7440,-59.2735,-55.1381
26,4.4407,-31.5999,59.2119,59.8328,-53.4756,57.9599
27,4.4407,-31.5999,59.2119,59.8328,-53.4756,57.9599
28,4.4407,-31.5999,59.2119,59.8328,-53.4756,57.9599
29,4.4407,-31.5999,59.2119,59.8328,-53.4756,57.9599
30,4.4407,-31.5999,59.2119,59.8328,-53.4756,57.9599
31,53.4162,-53.3077,59.7344,32.7529,-59.1476,59.3311
32,53.4162,-53.3077,59.7344,32.7529,-59.1476,59.3311
33,53.4162,-53.3077,59.7344,32.7529,-59.1476,59.3311
34,53.4162,-53.3077,59.7344,32.7529,-59.1476,59.3311
35,53.4162,-53.3077,59.7344,32.7529,-59.1476,59.3311
36,24.4825,-28.5860,52.8336,54.3900,-26.6254,-51.4191
37,24.4825,-28.5860,52.8336,54.3900,-26.6254,-51.4191
38,24.4825,-28.5860,52.8336,54.3900,-26.6254,-51.4191
39,24.4825,-28.5860,52.8336,54.3900,-26.6254,-51.4191
40,24.4825,-28.5860,52.8336,54.3900,-26.6254,-51.4191
41,-37.7859,-59.5646,52.6699,-59.9836,-39.5933,59.9767
42,-37.7859,-59.5646,52.6699,-59.9836,-39.5933,59.9767
43,-37.7859,-59.5646,52.6699,-59.9836,-39.5933,59.9767
44,-37.7859,-59.5646,52.6699,-59.9836,-39.5933,59.9767
45,-37.7859,-59.5646,52.6699,-59.9836,-39.5933,59.9767
46,17.6435,10.5296,58.1840,40.9576,-22.5700,-4.0959
47,17.6435,10.5296,58.1840,40.9576,-22.5700,-4.0959
48,17.6435,10.5296,58.1840,40.9576,-22.5700,-4.0959
49,17.6435,10.5296,58.1840,40.9576,-22.5700,-4.0959
50,17.6435,10.5296,58.1840,40.9576,-22.5700,-4.0959
51,22.1106,-57.1561,52.0905,-3.8914,-37.0357,50.0918
52,22.1106,-57.1561,52.0905,-3.8914,-37.0357,50.0918
53,22.1106,-57.1561,52.0905,-3.8914,-37.0357,50.0918
54,22.1106,-57.1561,52.0905,-3.8914,-37.0357,50.0918
55,22.1106,-57.1561,52.0905,-3.8914,-37.0357,50.0918
56,47.3458,-25.5178,-23.5898,-5.2894,-40.5079,-54.5276
57,47.3458,-25.5178,-23.5898,-5.2894,-40.5079,-54.5276
58,47.3458,-25.5178,-23.5898,-5.2894,-40.5079,-54.5276
59,47.3458,-25.5178,-23.5898,-5.2894,-40.5079,-54.5276
60,47.3458,-25.5178,-23.5898,-5.2894,-40.5079,-54.5276
61,41.1566,-56.2110,-29.8317,-59.5560,8.1012,59.9693
62,41.1566,-56.2110,-29.8317,-59.5560,8.1012,59.9693
63,41.1566,-56.2110,-29.8317,-59.5560,8.1012,59.9693
64,41.1566,-56.2110,-29.8317,-59.5560,8.1012,59.9693
65,41.1566,-56.2110,-29.8317,-59.5560,8.1012,59.9693
66,-41.3559,-0.5015,55.7858,44.2126,-23.9979,-37.2499
67,-41.3559,-0.5015,55.7858,44.2126,-23.9979,-37.2499
68,-41.3559,-0.5015,55.7858,44.2126,-23.9979,-37.2499
69,-41.3559,-0.5015,55.7858,44.2126,-23.9979,-37.2499
70,-41.3559,-0.5015,55.7858,44.2126,-23.9979,-37.2499
71,-52.0439,19.3696,-18.8017,-50.5870,55.6237,-17.4382
72,-52.0439,19.3696,-18.8017,-50.5870,55.6237,-17.4382
73,-52.0439,19.3696,-18.8017,-50.5870,55.6237,-17.4382
74,-52.0439,19.3696,-18.8017,-50.5870,55.6237,-17.4382
75,-52.0439,19.3696,-18.8017,-50.5870,55.6237,-17.4382
76,-53.5926,-34.0879,46.8209,-42.8067,-9.9335,-53.8761
77,-53.5926,-34.0879,46.8209,-42.8067,-9.9335,-53.8761
78,-53.5926,-34.0879,46.8209,-42.8067,-9.9335,-53.8761
79,-53.5926,-34.0879,46.8209,-42.8067,-9.9335,-53.8761
80,-53.5926,-34.0879,46.8209,-42.8067,-9.9335,-53.8761
81,34.2357,-59.5842,58.8920,-59.6299,30.5496,54.7622
82,34.2357,-59.5842,58.8920,-59.6299,30.5496,54.7622
83,34.2357,-59.5842,58.8920,-59.6299,30.5496,54.7622
