Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter
1,0,0.5606861,5.404146
2,0,0.5133136,5.212488
3,0,0.6258298,5.702491
4,0,0.5304016,5.218291
5,0,0.5721512,5.827274
6,0,0.480912,5.748266
7,0,0.5702609,5.786444
8,0,0.5528293,5.767461
9,0,0.526626,5.516411
10,0,0,9.318594
11,0,0.574441,5.978159
12,0,0.5283049,5.233597
13,0,0.5218475,5.367066
14,0,0.5201875,4.818568
15,0,0.5193596,5.173406
16,0,0.4799922,4.344501
17,0,0.5244278,5.626409
18,0,0.5143526,5.138962
19,0,0.5408841,4.971607
20,0,0.5336229,4.996391
21,0,0.5435404,5.322905
22,0,0.5167153,4.933855
23,0,0.5550572,5.4909
24,0,0.5541091,5.75247
25,0,0.5660829,5.86236
26,0,0.5398958,5.259812
27,0,0.5364177,4.941951
28,0,0.5379395,5.532646
29,0,0.5232743,4.777838
30,0,0.518685,5.162889
31,0,0.528513,5.268696
32,0,0.6543872,5.001148
33,0,0.5542929,5.882439
34,0,0.5876818,5.824878
35,0,0.5383665,5.321004
36,0,0.5416889,5.782115
37,0,0.5310217,5.112329
38,0,0.5335532,5.142468
39,0,0.642233,5.970188
40,0,0.5515164,5.82673
41,0,0.5151431,5.025443
42,0,0.5122619,4.998256
43,0,0.5053968,5.674828
44,0,0.526142,5.075153
45,0,0.481837,5.03852
46,0,0.6006479,6.183408
47,0,0.4959131,4.86999
48,0,0.5409689,5.864838
49,0,0.5815313,5.866398
50,0,0.5112414,5.413507
51,0,0.5315486,5.338132
52,0,0.5424695,5.113591
53,0,0.4833445,5.233009
54,0,0.5528743,5.675646
55,0,0.5235538,5.368075
56,0,0.6034091,5.845717
57,0,0.5329541,5.903529
58,0,0.5041435,4.97331
59,0,0.476447,4.9408
60,0,0.5273526,5.313602
61,0,0.5602025,5.628929
62,0,0.5239398,5.398428
63,0,0.5398186,5.711366
64,0,0.5199776,5.152469
65,0,0.5452784,5.508131
66,0,0.5483851,5.690038
67,0,0.52156,5.310277
68,0,0.5219868,5.272967
69,0,0,13.39128
70,0,0.4733588,4.693562
71,0,0.5208346,5.165401
72,0,0.531683,6.180138
73,0,0.4888288,4.693352
74,0,0.3954492,3.465014
75,0,0.4778768,4.49571
76,0,0,10.85511
77,0,0.5000879,4.909676
78,0,0.5597941,5.710937
79,0,0.5081598,4.787559
80,0,0.5030725,5.117879
81,0,0.5476881,5.518056
82,0,0.5685087,5.715384
83,0,0.5333427,5.214166
84,0,0.6130783,5.658013
85,0,0.5412105,5.490385
86,0,0.5126457,4.616995
87,0,0.5851875,5.972318
88,0,0.5255248,5.052679
89,0,0.5644673,5.168438
90,0,0.4926904,4.614127
91,0,0.5687034,5.876468
92,0,0.5377005,5.179877
93,0,0.5666277,5.812431
94,0,0.5361159,5.557636
95,0,0,8.994077
96,0,0.5610219,5.878182
97,0,0.572067,5.699075
98,0,0.5248182,5.224123
99,0,0.5173569,4.901867
100,0,0.5151597,5.192153
101,0,0,10.87681
102,0,0.5195675,5.094625
103,0,0,13.84565
104,0,0.5632332,5.677147
105,0,0.5484011,5.591888
106,0,0.5306711,5.203115
107,0,0.5011773,5.686949
108,0,0,12.8785
109,0,0.5246059,4.864518
110,0,0.5708805,5.459777
111,0,0.5284244,5.153484
112,0,0.5860522,5.697495
113,0,0.5690601,5.594625
114,0,0.56937,5.50386
115,0,0.5222434,5.316381
116,0,0.5402147,5.389135
117,0,0.499474,4.879106
118,0,0.508943,5.004661
119,0,0,11.28275
120,0,0.5810009,5.410591
121,0,0.5100672,5.112172
122,0,0.5882042,6.021447
123,0,0.5448799,5.651582
124,0,0.558423,6.072962
125,0,0.5061514,5.111869
126,0,0.5602612,5.102797
127,0,0.5553355,5.592023
128,0,0.5504895,5.467157
129,0,0.5446326,5.35309
130,0,0,5.470189
131,0,0.5375551,5.341826
132,0,0.6100984,5.962217
133,0,0.523811,5.225451
134,0,0.5317902,5.439162
135,0,0.5694934,6.108799
136,0,0.5459636,5.344165
137,0,0.5675741,5.63729
138,0,0.5365871,5.465614
139,0,0,5.624045
140,0,0.553644,5.177926
141,0,0,13.51206
142,0,0.5370317,5.175767
143,0,0.4921355,4.986648
144,0,0.482804,4.771525
145,0,0.5024414,4.932406
146,0,0.5063435,4.919279
147,0,0.493428,4.96393
148,0,0.5390649,5.342543
149,0,0.543606,5.521022
150,0,0.5155526,4.728723
151,0,0.5511287,5.228972
152,0,0.4971642,5.064053
153,0,0.5159499,5.01163
154,0,0.5639035,5.904064
155,0,0.5266097,5.214003
156,0,0.5102537,4.969086
157,0,0.4851917,4.706842
158,0,0.512817,4.574852
159,0,0.5470589,5.17675
160,0,0.522929,5.158524
161,0,0.4991198,5.368748
162,0,0.4705071,5.061653
163,0,0.5537838,5.502433
164,0,0.6200655,6.30084
165,0,0.5183285,5.153276
166,0,0.5516371,5.656415
167,0,0.5162763,5.554088
168,0,0.5003902,5.427643
169,0,0,19.39486
170,0,0,0
171,0,0.518869,5.284796
172,0,0.5286833,5.632103
173,0,0.5198633,5.121262
174,0,0.4877882,4.530213
175,0,0.5394893,5.285276
176,0,0.5081765,4.82166
177,0,0.5898597,5.959791
178,0,0.5201594,4.993577
179,0,0.5223751,5.498729
180,0,0.5089729,5.451277
181,0,0.5056729,5.041245
182,0,0.5376679,5.410298
183,0,0.5768793,6.048742
184,0,0.5280189,5.377905
185,0,0.5813028,5.609797
186,0,0.4939805,5.238135
187,0,0.5518289,5.177684
188,0,0.5069703,4.862287
189,0,0.5341149,5.35376
190,0,0.5290501,5.221557
191,0,0.5235581,5.507139
192,0,0.5142594,5.382397
193,0,0.515775,5.07254
194,0,0.5591509,5.536966
195,0,0.5183122,5.239253
196,0,0.5105265,5.436741
197,0,0.499288,5.050125
198,0,0.4921297,4.663806
199,0,0.5432342,5.62288
200,0,0.518312,5.722458
201,0,0.5082955,5.324172
202,0,0.5206388,5.554302
203,0,0.5311446,5.265142
204,0,0.5241859,4.826704
205,0,0.5452554,5.525793
206,0,0.5242681,5.152014
207,0,0.6931131,6.235103
208,0,0.5905159,5.751853
209,0,0.5419387,5.331196
210,0,0.5748447,5.533519
211,0,0.587567,6.146355
212,0,0.6013209,6.048204
213,0,0.5192453,5.424481
214,0,0.5257267,5.954611
215,0,0.5074967,5.084166
216,0,0.5495405,5.401063
217,0,0.5800396,5.757865
218,0,0.6133952,6.143548
219,0,0.5397871,5.39426
220,0,0,17.84103
221,0,0.5409191,5.32453
222,0,0.5461072,5.273151
223,0,0.5573127,5.401193
224,0,0.5751161,6.07127
225,0,0,23.39524
226,0,0.5832618,6.401225
227,0,0.4997108,5.768823
228,0,0.5276339,5.108692
229,0,0.4888759,4.819967
230,0,0.5348528,5.263083
231,0,0.5108275,4.792633
232,0,0.5680475,5.708403
233,0,0.5435745,5.72291
234,0,0.5368112,5.503103
235,0,0.4790161,4.827672
236,0,0.4912877,5.605186
237,0,0.5436323,5.53372
238,0,0.5121856,5.304565
239,0,0.4875455,4.973095
