Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter
1,0,0.7116504,7.532199
2,0,0.7313324,7.340469
3,0,0.6833217,7.433339
4,0,0,13.53096
5,0,0.8886138,7.414132
6,0,0.6635079,7.178794
7,0,0.6593278,7.369885
8,0,0.6631055,7.46525
9,0,0.6344599,7.706936
10,0,0.7495946,6.762863
11,0,0.700843,7.426225
12,0,0.6014628,7.412353
13,0,0.6882417,6.854026
14,0,0.7288864,7.41807
15,0,0.7512333,7.086303
16,0,0.6485557,7.655523
17,0,0.7085887,7.385626
18,0,0,10.1898
19,0,0.7441647,7.250753
20,0,0.7366927,7.117788
21,0,0.6127965,6.247117
22,0,0.602815,6.426167
23,0,0.8391966,8.05669
24,0,0.686686,6.34783
25,0,0.7375177,7.496989
26,0,0.8587432,8.420818
27,0,0.7287546,8.347322
28,0,0.6469007,6.738049
29,0,0.6756983,7.045744
30,0,0.7204953,7.07005
31,0,0.7387402,7.269963
32,0,0.7195418,7.138348
33,0,0.6431702,6.570759
34,0,0.6537378,6.77488
35,0,0.6764082,6.928621
36,0,0.5042965,5.796424
37,0,0,9.917157
38,0,0.6927946,7.311504
39,0,0.7459865,6.802193
40,0,0.7379533,7.39474
41,0,0.7901753,7.15029
42,0,0.8287914,8.256668
43,0,0.5987665,6.537557
44,0,0.9358747,7.078744
45,0,0.6500012,7.388776
46,0,0.6926624,6.680608
47,0,0.5996756,5.250564
48,0,0.7363137,7.313141
49,0,0.7056695,7.405879
50,0,0.6490678,6.647305
51,0,0.6578463,6.297093
52,0,0.6591704,7.101396
53,0,0.6959162,6.32482
54,0,0.7555354,7.2496
55,0,0.7494013,6.859433
56,0,0.6832454,7.40911
57,0,0.8707013,8.368621
58,0,0.6679049,7.456954
59,0,0,21.40905
60,0,0.6848137,7.637891
61,0,0.7091834,7.058715
62,0,0.6644595,6.677297
63,0,0.6747807,7.41241
64,0,0.6784322,7.670484
65,0,0.7196069,7.370912
66,0,0.6928586,7.346427
67,0,0.7636688,7.350105
68,0,0.6828619,6.786089
69,0,0.6415734,6.610555
70,0,0.5790763,6.038597
71,0,0.7093514,7.804564
72,0,0.7264833,7.756729
73,0,0.6712356,7.608338
74,0,0.7354332,7.176437
75,0,0.7100039,7.945231
76,0,0,16.02287
77,0,0.6794344,7.835186
78,0,0.6854365,7.085215
79,0,0.6446545,6.922961
80,0,0.7472976,7.074057
81,0,0.5599711,6.217967
82,0,0,6.488427
83,0,0.7864425,7.171031
84,0,0.5990989,6.958156
