Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter,MeanLinearSpeed
1,0,0.086520,0.692350,0.708145
2,0,0.029238,0.317362,0.554368
3,0,0.091910,0.763229,0.813873
4,0,0.084065,0.650089,0.596846
5,0,0.087829,0.683891,0.802815
6,0,0.086504,0.683819,0.715276
7,0,0.085984,0.672354,0.707779
8,0,0.092215,0.743086,0.679858
9,0,0.088613,0.756024,0.776311
10,0,0.085648,0.690232,0.699000
11,0,0.089437,0.690250,0.643217
12,0,0.094923,0.810779,0.990232
13,0,0.097825,0.804981,0.761414
14,0,0.084764,0.676392,0.734590
15,0,0.084678,0.668455,0.602371
16,0,0.085267,0.691540,0.722792
17,0,0.084140,0.663905,0.674404
18,0,0.088772,0.712699,0.695041
19,0,0.091027,0.746241,0.741443
20,0,0.103813,0.826538,0.994620
21,0,0.093710,0.785635,0.762867
22,0,0.085978,0.674584,0.791455
23,0,0.096584,0.709989,0.966649
24,0,0.084462,0.622544,0.648632
25,0,0.089588,0.716935,0.880827
26,0,0.099358,0.830582,0.945590
27,0,0.086688,0.686701,0.699855
28,0,0.089833,0.773238,0.987390
29,0,0.083511,0.677076,0.689343
30,0,0.087023,0.664804,0.591635
31,0,0.091903,0.764109,0.766648
32,0,0.087872,0.699022,0.731481
33,0,0.085408,0.682342,0.727621
34,0,0.096446,0.794794,0.678240
35,0,0.082596,0.634213,0.661318
36,0,0.095726,0.751101,0.860515
37,0,0.088071,0.732006,0.788053
38,0,0.084544,0.687132,0.692999
39,0,0.093409,0.778440,0.884837
40,0,0.089104,0.694483,0.777356
41,0,0.097009,0.766671,0.662531
42,0,0.085946,0.684685,0.641865
43,0,0.091568,0.710855,0.870335
44,0,0.092971,0.735775,0.722714
45,0,0.091884,0.706705,0.740473
46,0,0.080065,0.744322,1.012257
47,0,0.087790,0.727725,0.686437
48,0,0.090803,0.731566,0.919471
49,0,0.093163,0.626940,0.947203
50,0,0.079864,0.644592,0.650827
51,0,0.093353,0.755707,0.768147
52,0,0.083430,0.636416,0.666761
53,0,0.085347,0.674301,0.663372
54,0,0.087118,0.779407,1.041194
55,0,0.088073,0.716767,0.771614
56,0,0.090930,0.723374,0.790983
57,0,0.090036,0.718017,0.935723
58,0,0.089885,0.686053,0.713770
59,0,0.095232,0.762724,0.895452
60,0,0.094358,0.793744,1.047698
61,0,0.093848,0.768331,0.986773
62,0,0.091615,0.709969,0.641547
63,0,0.090761,0.739415,0.841376
64,0,0.083360,0.644992,0.590040
65,0,0.096533,0.822969,0.972082
66,0,0.095123,0.802732,0.968445
67,0,0.029955,0.451302,0.598303
68,0,0.090764,0.732788,0.797351
69,0,0.079119,0.609937,0.832489
70,0,0.090450,0.750933,0.938905
71,0,0.090220,0.727763,0.728744
72,0,0.089300,0.734783,0.813051
73,0,0.086460,0.681073,0.652665
74,0,0.088773,0.745859,0.860534
75,0,0.091136,0.757870,0.850591
76,0,0.083681,0.671214,0.647068
