Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter,MeanLinearSpeed
1,0,0.128969,1.337454,1.264771
2,0,0.168968,1.456730,1.047591
3,0,0.137719,1.315559,1.295701
4,0,0.131348,1.179718,1.133312
5,0,0.136221,1.319615,0.960805
6,0,0.138388,1.200026,0.965019
7,0,0.120579,1.085767,1.100089
8,0,0.134050,1.377891,1.539113
9,0,0.121672,1.031929,1.234061
10,0,0.128509,1.206785,1.231341
11,0,0.115346,1.144704,1.314573
12,0,0.148445,1.370332,1.218844
13,0,0.111167,1.091614,1.242610
14,0,0.126542,1.229620,1.189141
15,0,0.113980,1.080853,1.211933
16,0,0.125449,1.199056,0.994315
17,0,0.144786,1.460309,1.516424
18,0,0.137767,1.483746,1.242127
19,0,0.138624,1.256942,1.345013
20,0,0.113094,1.032106,0.964059
21,0,0.103091,1.009461,0.965269
22,0,0.110137,1.124213,1.330711
23,0,0.117098,1.227200,1.296712
24,0,0.109563,1.069787,1.249447
25,0,0.128251,1.189512,1.099157
26,0,0.153109,1.504695,1.573418
27,0,0.133438,1.246129,1.026969
28,0,0.130382,1.307874,1.384603
29,0,0.122704,1.230320,1.035272
30,0,0.099210,1.006724,1.107580
31,0,0.110269,1.057736,1.135933
32,0,0.139035,1.254781,1.065557
33,0,0.143676,1.516779,0.992460
34,0,0.114312,1.006805,0.936155
35,0,0.109731,0.996528,0.947453
36,0,0.117463,1.031048,1.157012
37,0,0.128281,1.271065,0.944524
38,0,0.152316,1.471579,1.062317
39,0,0.131636,1.189428,0.845093
40,0,0.142461,1.510107,1.179132
41,0,0.133510,1.217057,1.167119
42,0,0.138717,1.373485,1.488583
43,0,0.131600,1.249019,1.256130
44,0,0.112103,1.137625,1.292975
45,0,0.132860,1.341964,1.454777
46,0,0.128929,1.282826,1.508481
47,0,0.136815,1.280096,0.912330
48,0,0.130954,1.292018,1.388711
49,0,0.117870,1.048878,0.895601
50,0,0.126113,1.223718,1.176657
51,0,0.145709,1.450196,1.543404
52,0,0.148006,1.456240,1.006261
53,0,0.140853,1.442031,1.874440
54,0,0.128318,1.208644,1.068994
55,0,0.122931,1.304393,1.114554
56,0,0.122978,1.076226,1.170349
57,0,0.060535,0.483712,0.553735
58,0,0.121848,1.197596,1.163553
59,0,0.117607,1.175454,1.171664
60,0,0.125310,1.281572,1.352670
61,0,0.114459,1.090157,1.170554
