Wall time,Step,Value
1775568180.4279385,10000,438.0454406738281
1775568240.0682182,20000,324.46875
1775568298.2980995,30000,219.0238037109375
1775568357.236779,40000,207.7346954345703
1775568414.8938656,50000,134.770263671875
1775568471.4880567,60000,158.2203369140625
1775568528.6324382,70000,104.58333587646484
1775568588.024929,80000,108.35051727294922
1775568647.9600525,90000,109.26373291015625
1775568701.0588822,100000,94.54205322265625
1775568753.937869,110000,76.60344696044922
1775568807.5606475,120000,74.10204315185547
1775568861.4806516,130000,53.338890075683594
1775568915.9672105,140000,44.233184814453125
1775568970.6800258,150000,40.404083251953125
1775569025.2150862,160000,46.68421173095703
1775569080.1405766,170000,45.05607604980469
1775569133.6608818,180000,46.29664993286133
1775569188.1922462,190000,47.22065734863281
1775569242.7570038,200000,47.02404022216797
1775569297.3507168,210000,47.29807662963867
1775569351.0104299,220000,49.16923141479492
1775569405.8431854,230000,43.31718063354492
1775569460.0245914,240000,43.91071319580078
1775569515.0836942,250000,36.09629440307617
1775569570.0117245,260000,37.23484802246094
1775569624.551754,270000,36.935115814208984
1775569680.1992779,280000,35.4654541015625
1775569735.3005993,290000,38.7283935546875
1775569789.9346187,300000,37.91221237182617
1775569845.4209871,310000,33.46440505981445
1775569900.56103,320000,33.59859085083008
1775569955.6249835,330000,45.599056243896484
1775570010.2673526,340000,35.72101593017578
1775570066.6099682,350000,40.305084228515625
1775570126.9520729,360000,34.49473571777344
1775570185.4672835,370000,43.599998474121094
1775570245.7705507,380000,40.02857208251953
1775570305.7628675,390000,34.68928527832031
1775570365.4993157,400000,37.55038833618164
1775570425.6977456,410000,35.867156982421875
1775570485.0201724,420000,37.54230880737305
1775570545.698147,430000,44.261260986328125
1775570605.5497026,440000,40.936973571777344
1775570666.7884357,450000,34.49097442626953
1775570726.631868,460000,39.53845977783203
1775570787.2964609,470000,42.55794143676758
1775570846.966651,480000,29.774690628051758
1775570909.5351248,490000,39.09465026855469
1775570967.8850377,500000,38.022727966308594
