Wall time,Step,Value
1777152876.5201108,10000,-24.23406410217285
1777152889.1908352,20000,-19.319730758666992
1777152899.3091946,30000,-23.409696578979492
1777152910.1916869,40000,-25.62242317199707
1777152920.7801406,50000,-18.692569732666016
1777152931.1699235,60000,-20.209007263183594
1777152942.7074988,70000,-20.290616989135742
1777152953.6230133,80000,-23.506032943725586
1777152964.3041954,90000,-24.6068172454834
1777152974.5482833,100000,-22.755508422851562
1777152996.2961671,110000,-20.57699966430664
1777153006.8988917,120000,-17.05754280090332
1777153017.4724526,130000,-22.956762313842773
1777153027.9542093,140000,-19.957229614257812
1777153038.9662988,150000,-21.663480758666992
1777153049.9014378,160000,-20.917034149169922
1777153060.3686795,170000,-22.097530364990234
1777153070.7421079,180000,-21.714324951171875
1777153081.6967008,190000,-20.35259437561035
1777153093.2358522,200000,-18.035865783691406
1777153114.1014361,210000,-19.86614418029785
1777153125.6552856,220000,-17.976806640625
1777153136.7773879,230000,-17.693147659301758
1777153147.9347124,240000,-18.309640884399414
1777153158.623618,250000,-19.779220581054688
1777153169.9347281,260000,-21.057222366333008
1777153180.4885392,270000,-15.583858489990234
1777153191.7005968,280000,-17.91490364074707
1777153202.7481146,290000,-17.878459930419922
1777153212.6316762,300000,-19.593698501586914
1777153234.4599452,310000,-13.646689414978027
1777153245.3627856,320000,-16.51663589477539
1777153256.0524075,330000,-14.98572063446045
1777153267.3480897,340000,-14.869606018066406
1777153278.588452,350000,-15.287721633911133
1777153289.3891973,360000,-16.998666763305664
1777153300.7209988,370000,-15.937602043151855
1777153312.1076877,380000,-18.91602897644043
1777153322.7781122,390000,-16.109498977661133
1777153333.268556,400000,-15.544774055480957
1777153344.7627916,410000,-12.270867347717285
1777153366.367284,420000,-11.085567474365234
1777153377.731777,430000,-12.291507720947266
1777153388.7314782,440000,-9.63036823272705
1777153399.354948,450000,-13.070557594299316
1777153409.6893644,460000,-14.260319709777832
1777153421.6328785,470000,-13.574617385864258
1777153432.284124,480000,-11.949322700500488
1777153443.0635302,490000,-12.598189353942871
1777153454.4957504,500000,-10.41397476196289
1777153465.6480384,510000,-13.50158977508545
1777153488.2299695,520000,-9.13569164276123
1777153498.6155963,530000,-11.13312816619873
1777153510.173476,540000,-10.84503173828125
1777153520.6612937,550000,-11.23784351348877
1777153531.683162,560000,-10.309014320373535
1777153542.5097184,570000,-8.810012817382812
1777153554.6607542,580000,-12.122488021850586
1777153564.8869631,590000,-9.884496688842773
1777153576.408763,600000,-10.79638957977295
1777153587.4253469,610000,-11.10129451751709
1777153609.6565497,620000,-9.805832862854004
1777153620.9280982,630000,-7.179779052734375
1777153631.631994,640000,-8.627066612243652
1777153642.7244062,650000,-7.472069263458252
1777153654.2927144,660000,-7.440041542053223
1777153665.2843845,670000,-10.07436752319336
1777153676.7081597,680000,-8.53895378112793
1777153687.9054906,690000,-7.460891246795654
1777153698.358229,700000,-8.823548316955566
1777153710.171985,710000,-9.242140769958496
1777153732.227202,720000,-7.070075035095215
1777153743.2425053,730000,-5.960780143737793
1777153754.438575,740000,-5.818979263305664
1777153765.7806418,750000,-6.535494327545166
1777153776.8965096,760000,-6.779438018798828
1777153788.4137278,770000,-7.887037754058838
1777153799.2865546,780000,-5.395071983337402
1777153810.4425635,790000,-7.411764144897461
1777153820.7088706,800000,-7.3606791496276855
1777153831.6616697,810000,-6.093713283538818
1777153842.6477008,820000,-7.559627532958984
1777153864.1238296,830000,-5.506265640258789
1777153875.4918485,840000,-3.746591806411743
1777153886.936429,850000,-4.585948467254639
1777153897.1944902,860000,-4.171975135803223
1777153909.0334964,870000,-5.035546779632568
1777153919.8800712,880000,-4.010343551635742
1777153931.5144703,890000,-5.143029689788818
1777153942.3769007,900000,-6.030839920043945
1777153953.5595365,910000,-4.0826287269592285
1777153964.6054165,920000,-3.963634967803955
1777153987.2056987,930000,-3.053187608718872
1777153998.1388397,940000,-3.9744486808776855
1777154009.216127,950000,-4.396829605102539
1777154020.753477,960000,-3.6951794624328613
1777154032.2240403,970000,-4.075448989868164
1777154043.6390622,980000,-3.1337664127349854
1777154055.2742689,990000,-4.4849443435668945
1777154066.796049,1000000,-4.296675682067871
1777154077.910193,1010000,-4.09158992767334
1777154089.9827108,1020000,-3.1378822326660156
1777154112.5290053,1030000,-2.985691547393799
1777154123.500115,1040000,-3.0771331787109375
1777154135.253595,1050000,-2.907785654067993
1777154147.0345433,1060000,-2.0417373180389404
1777154159.046796,1070000,-2.030290365219116
1777154169.9421418,1080000,-2.4058244228363037
1777154181.5595903,1090000,-2.4755125045776367
1777154193.0741339,1100000,-2.335254669189453
1777154204.3050702,1110000,-2.557035207748413
1777154215.5146632,1120000,-3.0147781372070312
1777154237.1428404,1130000,-2.785407543182373
1777154247.8480215,1140000,-2.3199000358581543
1777154258.928751,1150000,-1.8826696872711182
1777154270.7378957,1160000,-1.9648354053497314
1777154282.2145967,1170000,-1.8907181024551392
1777154293.7503803,1180000,-1.829606294631958
1777154305.3340874,1190000,-2.3224997520446777
1777154316.5608113,1200000,-1.6491913795471191
1777154328.3172698,1210000,-2.07055926322937
1777154339.3639624,1220000,-1.9697837829589844
1777154350.4179456,1230000,-1.9503846168518066
1777154372.1623654,1240000,-1.3616139888763428
1777154383.3371239,1250000,-0.7819879055023193
1777154395.4424562,1260000,-1.2923868894577026
1777154406.568871,1270000,-1.7355424165725708
1777154418.1566465,1280000,-1.4059635400772095
1777154429.8934844,1290000,-1.2838457822799683
1777154441.1977978,1300000,-1.006126046180725
1777154452.2663007,1310000,-1.6462517976760864
1777154463.7602777,1320000,-1.2663906812667847
1777154475.31665,1330000,-1.1303253173828125
1777154498.059064,1340000,-1.2172037363052368
1777154510.6702304,1350000,-0.6791297197341919
1777154521.822366,1360000,-0.7579849362373352
1777154533.8560817,1370000,-0.9452698230743408
1777154545.6808646,1380000,-0.661984384059906
1777154557.3824008,1390000,-0.719642698764801
1777154569.094532,1400000,-0.8807244300842285
1777154580.5165918,1410000,-0.7626278400421143
1777154592.1516523,1420000,-0.7963812351226807
